user_id,book_id
1,28305
1,28303
1,28304
1,3137
1,36291
1,36293
1,33615
1,6601
1,35078
1,33616
1,56763
1,56742
1,56739
1,56710
1,57465
1,56798
1,56792
1,56764
1,56765
1,33617
1,33868
1,35481
1,33781
1,35460
1,34244
1,47950
1,57982
1,47721
1,47718
1,47723
1,47724
1,47719
1,47951
1,47720
1,35078
1,56084
1,56083
1,56085
1,56087
1,52735
1,52736
1,47722
1,18696
1,57514
1,57517
1,35078
1,44715
1,56086
1,13720
1,36114
1,56088
1,36115
1,39569
1,28306
1,39570
1,21051
1,21240
1,30613
1,21189
1,21050
1,21048
1,30614
1,26737
1,26787
1,26788
1,26789
1,29976
1,30046
1,21155
1,21156
1,46223
1,21050
1,21048
1,39569
1,21839
1,21185
1,21187
1,21186
1,21188
2,18994
2,28307
2,36294
2,36212
2,28312
2,28313
2,33618
2,28309
2,33870
2,28315
2,28310
2,26910
2,30615
2,28316
2,28308
2,33618
2,57468
2,24332
2,28317
2,24331
2,47725
2,47726
2,36243
2,36242
2,36244
2,40326
2,28318
2,28319
2,28320
2,31601
2,33871
2,56329
2,56271
2,37395
2,17624
2,56619
2,33869
3,1360
3,55090
3,19775
3,19776
3,52738
3,52739
3,52740
3,45621
3,45620
3,45621
3,45619
3,45620
3,45336
3,45337
3,54932
3,54929
3,54933
3,45439
3,45440
3,54935
3,54934
3,45438
3,45437
3,45441
3,45442
3,1361
3,1563
3,22251
3,45587
3,45588
3,31601
3,49459
3,49473
3,49472
3,49459
3,49531
3,44320
3,45128
3,45254
3,45253
3,44716
3,45586
3,43013
3,38054
3,31602
3,45126
3,45120
3,32120
3,49378
3,1065
3,45125
3,45123
3,45122
3,45124
3,45131
3,14116
3,45121
3,45126
3,45120
3,32122
4,31705
4,831
4,9643
4,5313
4,8936
4,5498
4,5500
4,5499
4,5501
4,5497
4,6649
4,6650
4,6652
4,3349
4,5456
4,5305
4,5300
4,5299
4,4203
4,5460
4,3338
4,5297
4,5314
4,1410
4,5399
4,2910
4,7390
4,2299
4,2300
4,3350
4,2911
4,214
4,2851
4,216
4,2302
4,217
4,1411
4,1412
4,6227
4,1661
4,1658
4,647
4,7651
4,650
4,8068
4,1649
4,1651
4,1650
4,916
4,1663
4,410
4,652
4,3085
4,3084
4,2898
4,2913
4,3980
4,2303
4,2305
4,2304
4,2901
4,650
4,649
4,2161
4,1657
4,976
4,2162
4,1649
4,2899
4,2909
4,2918
4,2901
4,2898
4,2919
4,2916
4,2898
4,2897
4,2901
4,2895
4,2900
4,2902
4,2907
4,8061
4,2892
4,2908
4,2899
4,2909
4,2903
4,2905
4,2904
4,2906
5,11024
5,11022
5,11712
5,11023
5,12110
5,10391
5,11027
5,24152
5,22253
5,24153
5,24154
5,32005
5,24337
5,11029
5,11026
5,38691
5,30618
5,11025
5,24156
5,23979
5,12902
5,12903
5,37971
5,23978
5,9289
5,9290
5,20275
5,12637
5,24338
5,11713
5,11030
5,10695
5,37499
5,11033
5,11032
5,9606
5,12904
5,12847
5,24339
5,11031
5,40746
5,30368
5,5649
5,30367
5,56209
5,11034
5,9502
5,30617
5,39620
5,24340
