user_id,top1,top5
1,57671,57671 56110 57654 54276 57707
2,47686,47686 47818 56198 48436 36093
3,54746,54746 54716 54823 54846 54725
4,6570,6570 7991 6877 6175 6814
5,38820,38820 38064 39579 37852 37906
6,13044,13044 17930 12788 12840 12812
8,37151,37151 39763 39253 40721 39200
9,52769,52769 53688 52721 52131 51563
10,46511,46511 46434 46501 46489 46452
11,38820,38820 38646 38075 39525 37943
14,58386,58386 58350 58351 58215 58318
15,57106,57106 40576 39490 40599 39679
18,57351,57351 57391 57255 57110 57039
19,37447,37447 38813 39637 39253 40068
20,38061,38061 39439 38062 38064 37955
23,48818,48818 52657 53448 53436 52769
25,41603,41603 38820 43323 39454 38075
26,12916,12916 12788 12670 12076 12840
28,46220,46220 46293 50980 46923 40796
29,40830,40830 30785 29375 34470 24283
30,37061,37061 33981 35850 33932 35253
31,35112,35112 35130 53448 36736 33312
32,40599,40599 40598 39689 40600 40558
33,58035,58035 54907 55086 56323 57847
34,52100,52100 53806 53644 52114 52252
35,50180,50180 55889 51379 56020 46945
36,56840,56840 48102 54891 52370 57285
37,51321,51321 45434 45080 43355 44585
41,40021,40021 39325 37628 37906 38064
42,40599,40599 40598 40486 39689 40600
43,51321,51321 44568 41270 45434 45080
45,57753,57753 57751 57654 57704 57668
48,58071,58071 58313 58115 58059 58337
49,55976,55976 56303 56304 49235 6569
50,42256,42256 43496 45690 44902 45688
51,55787,55787 56164 54789 54790 56165
52,52839,52839 51730 52784 53405 52347
53,57914,57914 57800 57938 57774 57773
55,49709,49709 56243 51242 51583 57393
56,36591,36591 36798 33605 35700 36374
57,51321,51321 52106 47142 52095 49413
58,31991,31991 32505 57462 28517 37114
62,37401,37401 40068 37443 36531 37565
63,17077,17077 15189 14990 16519 15522
64,37921,37921 38894 38471 38335 37111
65,38075,38075 51846 39439 38101 37567
66,58414,58414 52839 58530 54668 18204
67,53448,53448 50609 35130 56385 41383
68,51321,51321 48797 49405 52370 54356
69,54716,54716 54846 58414 54725 54954
70,49517,49517 51961 54254 48344 52131
71,37151,37151 38733 38481 37694 39324
72,38894,38894 38335 37921 37513 38471
73,46828,46828 47050 46921 46851 46958
75,46565,46565 46476 46521 37567 46223
76,52157,52157 54289 48914 50589 49517
80,43539,43539 45099 45434 45080 43939
81,57671,57671 57751 58024 58037 53541
82,54907,54907 54916 54791 55449 50078
83,37447,37447 37300 38544 37077 38813
84,48344,48344 53916 53917 55079 55081
86,40821,40821 40827 40878 40858 40599
90,39324,39324 37151 39038 37511 39610
91,57751,57751 58024 57753 57668 57763
92,38894,38894 37114 38061 37513 37567
93,40763,40763 40752 40599 40732 40734
95,57671,57671 57654 57702 56110 58414
96,48527,48527 58421 58424 58463 58456
97,43775,43775 45691 42428 44305 42391
99,54276,54276 58414 56461 55086 54716
100,56461,56461 54716 54846 55086 58414
102,32236,32236 30733 31820 32181 32787
104,58296,58296 58276 58222 58351 58258
106,58158,58158 56164 58183 49091 46511
107,55889,55889 56058 55749 48331 56050
108,46935,46935 46921 47056 47041 47022
110,57938,57938 57800 57773 57661 57914
111,51047,51047 56164 55786 55561 52486
113,46964,46964 47126 47098 46476 46958
114,57205,57205 51339 52100 40830 56725
115,58227,58227 58226 58225 17848 58219
116,45434,45434 45080 43539 44585 44568
117,32236,32236 43944 32169 31655 45423
119,52318,52318 53688 48649 54934 48749
120,58414,58414 54846 54716 54405 54954
121,58414,58414 58534 58516 58435 58418
123,54716,54716 54846 54954 54768 54746
124,50078,50078 50691 53726 54907 55470
125,52104,52104 53806 50031 49094 53575
126,51379,51379 55982 56164 50180 47900
127,55609,55609 48718 54393 49853 54254
128,55449,55449 50691 48344 56358 50078
130,46223,46223 46160 46565 46443 44767
131,49009,49009 41203 44203 49677 52839
132,47900,47900 51379 48815 46945 55982
134,6570,6570 6569 6652 7240 6814
137,40483,40483 21690 19950 38539 19486
139,52721,52721 47686 56198 53725 53681
141,38062,38062 39439 37205 38054 38922
147,50529,50529 57285 51244 56071 52909
148,58296,58296 58222 58304 58164 58249
150,58386,58386 58317 58219 58292 58318
151,46565,46565 57462 52311 46571 53612
152,51730,51730 52235 52637 52046 51731
153,47686,47686 56329 56076 47844 39138
154,37061,37061 33932 34915 36349 34837
155,57106,57106 18316 21607 18219 17563
156,44767,44767 41698 41761 43392 41697
157,51242,51242 48436 48437 7233 6570
158,55449,55449 50691 55520 48344 52115
159,48527,48527 55648 57351 57671 55086
161,56461,56461 54276 56110 54639 56798
165,53529,53529 47372 54591 52873 47686
166,41141,41141 40883 40830 17501 17175
167,49446,49446 52898 51592 49609 52370
171,57462,57462 48478 19668 48484 55084
173,54846,54846 58414 54954 56461 54833
174,49517,49517 52721 55609 54293 54289
175,53806,53806 52100 55235 52148 52252
176,58029,58029 57969 57944 52131 55524
177,52657,52657 53436 50529 53725 50064
178,57704,57704 57671 57753 57751 58024
181,52131,52131 51919 48914 58078 51525
182,52657,52657 53436 50064 52769 51563
183,52839,52839 50304 51105 56219 51490
184,52887,52887 52839 48478 52888 47214
185,31991,31991 24588 27423 30709 23995
186,47056,47056 46958 47022 47041 47025
187,46350,46350 46429 37234 40050 40202
188,39490,39490 40576 40338 24283 37238
189,52211,52211 55878 48527 54362 58089
193,52839,52839 51426 51375 57944 52233
194,51321,51321 46216 46243 46544 46449
195,57800,57800 57938 57914 57956 57661
196,37906,37906 38064 38820 38817 38713
198,51178,51178 53840 48527 55787 56165
199,45099,45099 46919 46597 45806 45514
200,50180,50180 52769 56164 53198 55982
201,52954,52954 56840 52370 48102 49405
204,57704,57704 57753 57751 53259 56982
205,52839,52839 52888 51426 52318 49709
207,52954,52954 52370 49446 49948 52898
209,40830,40830 40338 40821 24283 40883
210,52769,52769 47900 56164 50180 48654
211,58414,58414 58463 58456 58534 58516
212,49637,49637 52104 49257 50031 53575
213,55449,55449 50691 48344 50078 54764
214,52839,52839 53166 52888 53359 56219
215,58028,58028 57895 57698 57661 57947
218,55449,55449 50691 48344 57205 50078
219,48527,48527 57261 57292 57110 57671
221,58028,58028 57908 57895 57698 57944
222,58184,58184 58317 58248 58304 58313
223,40599,40599 40486 39689 40598 40600
225,58313,58313 58222 58304 58324 58158
227,58463,58463 58456 58534 58418 58516
230,55449,55449 48344 52115 50691 50741
231,53806,53806 52104 52100 49094 49093
232,57285,57285 56840 56827 52852 49483
233,36799,36799 34837 37061 36749 33932
234,46359,46359 32236 32169 46293 32181
235,37906,37906 37329 38544 40021 39325
236,58424,58424 58421 57351 57110 57255
237,58028,58028 57895 57698 57908 57700
238,58421,58421 58424 58463 58516 58418
240,44585,44585 43761 43798 44901 43342
241,58184,58184 58386 58236 58189 58161
242,55648,55648 54907 50691 53726 55081
245,55086,55086 55648 55609 55081 55046
247,58158,58158 58313 58317 58249 58324
248,58414,58414 54716 54846 54768 54954
249,58090,58090 58071 58088 57753 57751
252,50691,50691 50078 57205 55449 54764
253,37906,37906 37511 38544 38835 39610
255,40844,40844 41091 40935 40978 40915
256,49517,49517 54254 55609 51140 52749
257,52839,52839 52769 52325 52657 48709
258,58184,58184 52129 56840 57285 53420
260,55449,55449 50691 55520 48344 55105
261,55752,55752 55751 55749 55729 53806
