user_id,book_id,timestamp,年级,二级分类
1,28305,2020-09-21 10:14:07,18, 日本
1,28303,2020-09-21 10:14:11,18, 日本
1,28304,2020-09-21 10:14:17,18, 日本
1,3137,2020-09-29 14:58:06,18,
1,36291,2020-09-29 14:58:20,18,
1,36293,2020-09-29 14:58:44,18,
1,33615,2020-12-02 16:14:16,18,造型艺术理论
1,6601,2020-12-02 16:14:22,18,社会生活与社会问题
1,35078,2020-12-02 16:14:34,18,各种画技法：按用途分
1,33616,2020-12-02 16:14:43,18,造型艺术理论
1,56763,2020-12-25 16:43:54,18,居住建筑
1,56742,2020-12-25 16:44:00,18,建筑装饰
1,56739,2020-12-25 16:44:12,18,楼梯、坡道、电梯
1,56710,2020-12-25 16:44:17,18,设计资料、设计图
1,57465,2020-12-30 16:24:21,18,城市规划
1,56798,2020-12-30 16:24:26,18,行政建筑、办公建筑
1,56792,2020-12-30 16:24:32,18,公共建筑
1,56764,2021-01-06 16:15:48,18,居住建筑
1,56765,2021-01-06 16:16:09,18,居住建筑
1,33617,2021-01-22 15:33:05,18,造型艺术理论
1,33868,2021-01-22 17:29:52,18,艺术史、艺术思想史
1,35481,2021-01-22 17:30:00,18,版画
1,33781,2021-01-22 17:30:09,18,透视学
1,35460,2021-01-22 17:30:27,18,素描、速写
1,34244,2021-01-22 17:30:31,18, 欧洲艺术
1,47950,2021-03-18 16:50:21,18,金属材料
1,57982,2021-03-18 16:50:27,18,汽车保养与修理
1,47721,2021-03-18 16:50:35,18,产品设计
1,47718,2021-03-18 16:50:39,18,产品设计
1,47723,2021-03-18 16:50:43,18,产品设计
1,47724,2021-03-18 16:50:56,18,产品设计
1,47719,2021-03-18 16:51:10,18,产品设计
1,47951,2021-03-18 16:51:43,18,金属材料
1,47720,2021-03-18 16:51:59,18,产品设计
1,35078,2021-03-22 16:21:58,18,各种画技法：按用途分
1,56084,2021-04-12 11:25:07,18,
1,56083,2021-04-12 11:25:11,18,
1,56085,2021-04-12 11:25:17,18,
1,56087,2021-04-12 11:25:31,18,
1,52735,2021-04-12 18:21:56,18,程序设计、软件工程
1,52736,2021-04-12 18:22:03,18,程序设计、软件工程
1,47722,2021-04-26 21:58:07,18,产品设计
1,18696,2021-06-08 21:55:45,18,棋类
1,57514,2021-06-08 21:55:57,18,园林规划与建设
1,57517,2021-06-08 21:56:10,18,园林规划与建设
1,35078,2021-06-18 16:41:13,18,各种画技法：按用途分
1,44715,2021-06-19 21:59:26,18,物理学
1,56086,2021-08-15 20:06:29,18,
1,13720,2021-08-15 20:06:35,18,资源经济学
1,36114,2021-08-15 20:06:40,18,工艺美术造型艺术理论
1,56088,2021-08-15 20:06:46,18,
1,36115,2021-08-15 20:06:53,18,工艺美术造型艺术理论
1,39569,2021-10-21 17:45:22,18,各国人物传记
1,28306,2021-10-21 17:45:29,18, 日本
1,39570,2021-10-21 17:45:33,18,各国人物传记
1,21051,2021-10-27 16:03:36,18,日语
1,21240,2021-10-27 16:03:44,18,
1,30613,2021-10-27 16:03:49,18, 英国
1,21189,2021-10-27 16:03:55,18,
1,21050,2021-10-27 16:04:06,18,日语
1,21048,2021-10-27 16:04:13,18,日语
1,30614,2021-11-17 17:25:55,18, 英国
1,26737,2021-11-17 17:26:01,18,报告文学
1,26787,2021-11-17 17:26:13,18,通讯、特写、专题报道
1,26788,2021-11-17 17:26:40,18,通讯、特写、专题报道
1,26789,2021-11-17 17:26:46,18,通讯、特写、专题报道
1,29976,2021-12-17 16:20:04,18, 东欧、中欧
1,30046,2021-12-17 16:20:29,18, 东欧、中欧
1,21155,2022-03-31 10:31:19,18,
1,21156,2022-03-31 10:31:23,18,
1,46223,2022-03-31 10:31:26,18,宇宙学
1,21050,2022-03-31 10:31:34,18,日语
1,21048,2022-03-31 10:31:39,18,日语
1,39569,2022-06-05 17:35:41,18,各国人物传记
1,21839,2022-06-05 17:36:05,18,文学史、文学思想史
1,21185,2022-06-05 17:36:13,18,
1,21187,2022-06-05 17:36:19,18,
1,21186,2022-06-05 17:36:30,18,
1,21188,2022-06-05 17:36:41,18,
2,18994,2020-01-03 13:03:42,18,朗诵法、演讲术
2,28307,2020-01-06 12:59:14,18, 日本
2,36294,2020-09-27 19:07:34,18,
2,36212,2020-09-27 19:07:41,18,工商工艺美术
2,28312,2020-10-03 20:26:57,18, 日本
2,28313,2020-10-03 20:27:02,18, 日本
2,33618,2020-10-13 18:04:35,18,造型艺术理论
2,28309,2020-10-13 18:04:42,18, 日本
2,33870,2020-10-24 18:03:30,18,艺术史、艺术思想史
2,28315,2020-10-24 18:05:02,18, 日本
2,28310,2020-10-24 18:05:06,18, 日本
2,26910,2020-10-27 18:42:48,18,
2,30615,2020-10-31 18:18:01,18, 英国
2,28316,2020-11-25 19:03:16,18, 日本
2,28308,2020-11-25 19:03:20,18, 日本
2,33618,2020-11-25 19:03:25,18,造型艺术理论
2,57468,2020-11-26 16:55:59,18,城市规划
2,24332,2021-03-04 17:24:39,18,当代作品（1949年~）
2,28317,2021-03-04 17:25:00,18, 日本
2,24331,2021-03-04 17:25:05,18,当代作品（1949年~）
2,47725,2021-03-06 17:58:04,18,产品设计
2,47726,2021-03-06 17:58:10,18,产品设计
2,36243,2021-03-07 12:15:17,18,装饰美术
2,36242,2021-03-07 12:15:38,18,装饰美术
2,36244,2021-03-07 12:15:58,18,装饰美术
2,40326,2021-10-24 19:09:39,18,中国风俗习惯
2,28318,2021-10-24 19:09:45,18, 日本
2,28319,2021-10-24 19:09:50,18, 日本
2,28320,2021-11-04 16:03:58,18, 日本
2,31601,2021-11-04 16:04:01,18, 法国
2,33871,2021-11-04 16:04:13,18,艺术史、艺术思想史
2,56329,2021-11-06 11:31:35,18,工业技术
2,56271,2021-11-24 12:20:26,18,工业技术
2,37395,2021-11-24 12:20:31,18,文化史
2,17624,2021-12-25 17:06:01,18,世界各国出版事业
2,56619,2022-04-30 11:55:13,18,设计原理、原则和管理工作
2,33869,2022-06-10 17:51:40,18,艺术史、艺术思想史
3,1360,2020-09-01 17:05:34,18,道家
3,55090,2020-09-06 12:04:33,18,信息处理（信息加工）
3,19775,2020-09-27 16:03:06,18,基本词汇
3,19776,2020-09-27 16:03:12,18,基本词汇
3,52738,2020-10-16 09:38:38,18,程序设计、软件工程
3,52739,2020-10-16 09:38:46,18,程序设计、软件工程
3,52740,2020-10-16 09:38:51,18,程序设计、软件工程
3,45621,2020-10-22 17:47:39,18,半导体物理学
3,45620,2020-10-22 17:47:43,18,半导体物理学
3,45621,2020-11-22 21:29:23,18,半导体物理学
3,45619,2020-11-22 21:29:25,18,半导体物理学
3,45620,2020-11-22 21:29:31,18,半导体物理学
3,45336,2020-11-25 17:46:23,18,光学
3,45337,2020-11-25 17:46:35,18,光学
3,54932,2020-11-28 21:13:55,18,微型计算机
3,54929,2020-11-28 21:14:02,18,微型计算机
3,54933,2020-11-28 21:14:06,18,微型计算机
3,45439,2020-11-28 21:14:19,18,电磁学
3,45440,2020-11-28 21:14:24,18,电磁学
3,54935,2020-12-16 20:46:32,18,微型计算机
3,54934,2020-12-16 20:46:49,18,微型计算机
3,45438,2020-12-23 09:57:00,18,电磁学
3,45437,2020-12-23 09:57:11,18,电磁学
3,45441,2020-12-23 09:57:32,18,电磁学
3,45442,2020-12-23 09:57:48,18,电磁学
3,1361,2021-01-07 18:53:35,18,道家
3,1563,2021-01-07 18:53:41,18,墨家
3,22251,2021-01-11 20:12:52,18,各体文学评论和研究
3,45587,2021-03-19 11:34:22,18,电动力学
3,45588,2021-03-19 11:34:28,18,电动力学
3,31601,2021-03-25 11:59:28,18, 法国
3,49459,2021-04-07 19:28:09,18,结构和元部件
3,49473,2021-04-07 19:28:14,18,光电子技术、激光技术
3,49472,2021-04-07 19:28:18,18,光电子技术、激光技术
3,49459,2021-05-14 08:09:39,18,结构和元部件
3,49531,2021-06-05 12:35:31,18,结构、器件
3,44320,2021-07-02 11:04:26,18,理论力学(一般力学)
3,45128,2021-07-02 11:04:31,18,量子论
3,45254,2021-07-02 11:04:41,18,热力学与统计物理学
3,45253,2021-07-02 11:04:45,18,热力学与统计物理学
3,44716,2021-10-12 09:23:37,18,物理学
3,45586,2021-11-12 14:38:35,18,电动力学
3,43013,2021-12-12 12:28:46,18,向量（矢量）和张量分析
3,38054,2022-01-08 16:45:27,18,
3,31602,2022-01-08 16:45:32,18, 法国
3,45126,2022-03-04 17:36:25,18,量子论
3,45120,2022-03-06 11:00:00,18,量子论
3,32120,2022-03-09 11:47:52,18, 北美洲
3,49378,2022-03-10 20:25:43,18,电器测量技术及仪器
3,1065,2022-03-23 19:55:50,18,儒家
3,45125,2022-03-24 10:34:29,18,量子论
3,45123,2022-03-26 19:27:24,18,量子论
3,45122,2022-03-26 19:27:27,18,量子论
3,45124,2022-03-29 16:09:25,18,量子论
3,45131,2022-03-29 16:09:29,18,量子论
3,14116,2022-04-18 14:39:33,18,专业化与协作
3,45121,2022-04-21 13:21:46,18,量子论
3,45126,2022-04-23 21:32:00,18,量子论
3,45120,2022-05-09 20:46:07,18,量子论
3,32122,2022-05-28 21:17:57,18, 北美洲
4,31705,2020-01-06 17:21:24,18, 法国
4,831,2020-01-08 18:39:15,18,辩证唯物主义
4,9643,2020-01-12 16:42:18,18,法的理论
4,5313,2020-11-06 15:18:33,18,宗教理论、宗教思想
4,8936,2020-12-15 09:37:34,18,阶级、阶层
4,5498,2020-12-28 17:30:42,18,对伊斯兰教的分析与研究
4,5500,2020-12-28 17:30:54,18,对伊斯兰教的分析与研究
4,5499,2020-12-28 17:31:05,18,对伊斯兰教的分析与研究
4,5501,2020-12-28 17:31:09,18,对伊斯兰教的分析与研究
4,5497,2020-12-28 17:31:22,18,对伊斯兰教的分析与研究
4,6649,2021-01-10 17:56:41,18,社会生活与社会问题
4,6650,2021-01-10 17:56:45,18,社会生活与社会问题
4,6652,2021-01-10 17:56:58,18,社会生活与社会问题
4,3349,2021-01-11 16:15:10,18,伦理学(道德哲学)
4,5456,2021-01-11 16:15:22,18,对佛教的分析和研究
4,5305,2021-01-11 16:15:39,18,宗教理论、宗教思想
4,5300,2021-01-11 16:15:48,18,宗教理论、宗教思想
4,5299,2021-01-11 16:16:00,18,宗教理论、宗教思想
4,4203,2021-01-11 16:16:11,18,心理学
4,5460,2021-01-11 16:16:30,18,对佛教的分析和研究
4,3338,2021-01-11 16:17:16,18,伦理学(道德哲学)
4,5297,2021-01-11 16:17:27,18,宗教
4,5314,2021-01-11 16:19:16,18,宗教理论、宗教思想
4,1410,2021-01-18 14:07:02,18,道家
4,5399,2021-01-18 14:07:13,18,经及经疏
4,2910,2021-01-21 09:48:26,18,法国哲学
4,7390,2021-01-21 09:48:59,18,管理组织学
