user_id,top1,top5
1,57311,57311 40859 51387 58161 40458
2,56193,56193 57311 54461 45885 58161
3,57311,57311 56193 54461 58161 56846
4,57311,57311 58161 56846 54461 48797
5,38062,38062 56193 53448 54461 52769
6,57311,57311 48797 58161 51387 40458
8,56193,56193 57311 54461 41141 45885
9,38062,38062 55317 43658 53448 54899
10,38062,38062 56193 54300 52721 52769
11,54461,54461 56846 57311 53448 40859
14,38062,38062 54300 53448 37132 52721
15,56193,56193 54461 38062 37132 53448
18,57311,57311 54461 56846 58161 40859
19,38062,38062 53448 54461 56193 54300
20,38062,38062 54277 43323 46193 43658
23,57311,57311 56193 58161 40458 56846
25,54461,54461 52978 56846 40859 53448
26,57311,57311 40859 54461 56193 53448
28,57311,57311 58161 56193 48797 56846
29,38062,38062 29769 56193 54300 56086
30,38062,38062 56193 54461 37132 57311
31,38062,38062 56193 54300 56086 29769
32,57311,57311 56193 12818 40827 40458
33,56193,56193 57311 54461 40859 41141
34,56193,56193 57311 58161 41141 40458
35,56846,56846 53120 51604 40340 49436
36,57311,57311 56193 40859 41141 58161
37,54461,54461 40859 56846 57514 57311
41,38062,38062 52721 54300 52769 29769
42,54461,54461 56193 57311 45885 56846
43,57311,57311 51387 58161 40859 51604
45,57311,57311 58161 51387 12818 40458
48,51387,51387 40859 39610 54461 56610
49,57311,57311 56193 58161 40859 37144
50,56193,56193 54300 38062 29769 52769
51,56193,56193 57311 37144 40859 56846
52,38062,38062 53448 54461 52721 56193
53,56193,56193 38062 54461 37132 39342
55,56193,56193 54461 57311 58161 56846
56,54461,54461 45885 48797 56846 46126
57,38062,38062 33125 52721 42504 36637
58,38062,38062 54899 52721 39632 54461
62,38062,38062 54461 56193 37132 53448
63,56193,56193 45885 54461 57311 48797
64,38062,38062 29769 54300 56086 49820
65,38062,38062 54461 37144 53448 56193
66,56193,56193 38062 30773 54300 37132
67,38062,38062 56193 54461 53448 37132
68,57311,57311 40859 58161 41091 40827
69,40859,40859 54461 51387 56846 57311
70,33125,33125 36637 40253 52978 37132
71,53120,53120 36637 51604 56846 50304
72,57311,57311 56193 54461 58161 41141
73,38062,38062 56193 54300 28570 44383
75,56193,56193 57311 41141 40859 58161
76,57311,57311 58161 56846 56193 40458
80,57311,57311 58161 40859 40827 51387
81,57311,57311 56846 51604 51387 54461
82,40859,40859 36637 51604 53120 57311
83,38062,38062 56193 54461 37132 53448
84,38062,38062 40859 54461 57311 53448
86,54461,54461 57311 40859 58161 56846
90,38062,38062 56193 54300 28570 29769
91,57311,57311 58161 48797 56846 51387
92,57311,57311 56193 41141 58161 54461
93,56193,56193 38062 30773 54461 39632
95,57311,57311 36637 58161 56846 12818
96,40859,40859 54461 57311 51387 56846
97,38062,38062 57311 54300 53448 37132
99,57311,57311 56193 58161 40827 41141
100,56193,56193 57311 54461 41141 58161
102,54461,54461 57311 56193 40859 58161
104,57311,57311 56846 48797 58161 51387
106,38062,38062 54300 56193 48484 29769
107,57311,57311 58161 51387 48797 40859
108,56846,56846 40340 54461 48797 51604
110,56193,56193 54461 30773 52721 54300
111,57311,57311 58161 56193 40859 41141
113,38062,38062 46193 52808 52095 43771
